item_id,source_dataset,short_text,reference_text,style_condition,is_attention_check,expected_answer
style_197,style_instructions,"Our vacation begins on crowded public buses, but it beats driving in unknown areas and getting lost. We stopped at Manly Wharf, which has shops, cafes, and diners. We had coffee on the waterfront with a great view. A small lighthouse in the distance was irrelevant but looked different, so I took a picture. After the wharf, we walked around the area for the afternoon—a nice place with good sights. 10/10 recommend.",our vacation begins on gross public buses | but honestly it beats driving in unknown areas and getting lost | so here we go ! we stop off at the manly wharf | here you find many shops | cafes and diners . we had a nice cup of coffee on the waterfront property | overlooking this gorgeous view . in the distance there 's a tiny little lighthouse | slightly irrelevant to anything we did today | it just looked different so i wanted a picture ! after leaving the wharf we walked around location for the rest of the afternoon | such a lovely place | many beautiful sights to see . 10/10 would suggest !,masculine,False,
noinst_233,no_instructions,"A parade was held in the location, with crowds collecting beads from the passing floats. Some people walked on stilts, and others dressed up to ride the floats along the streets. Marching bands played music throughout.",a parade was held in location . people collected beads from passing parade floats . some walked on stilts . others dressed up and rode floats through the streets . bands played marching music .,masculine,False,
style_261,style_instructions,Main Street historically featured large department stores. The blacksmith shop was a key business at the turn of the century. Downtown commerce thrived with shops meeting all needs. A locally owned general store was popular. Milk delivery served the local townspeople.,a look back in time shows us how main street use to look with big department stores . an old blacksmith shop was one of the main businesses at the turn of the century . business was booming in downtown with little shops catering to your every need . a nice local owned general store was a popular spot . this is how they used to deliver milk to the local townspeople .,masculine,False,
noinst_186,no_instructions,"Another lovely evening spent with dear friends. Some friends are naturally a bit more special than others, and honestly, that little truth just fills my heart with joy. It brings happiness to others too. Still, I notice that public displays of affection can make some people feel a bit shy, which is completely understandable.",another night together hanging out with some good friends . some friends are a little preferred to others | of course . as you can tell | that simple fact makes me quite happy . and it makes some other people very happy as well . however | it seems some people get easily embarrassed at the sign of public affection | which is understandable .,feminine,False,
noinst_447,no_instructions,"I felt incredibly grateful when my sister let me move in with her following my divorce. I began eating a bit healthier, and these seeds are part of my journey. I eliminated bread and focused on just eating meat and vegetables. My sister wants me to assist her with adopting a healthy lifestyle too. She's such a sweet person and truly deserves all the happiness.",i was so grateful for my sister allowing me to move in with her after my divorce . i started to eat a bit more healthier | and these seeds are part of my journey . i cut out bread | and just ate meant amd vegetables . my sister wants me to help her with a healthy lifestyle as well . she is a sweet person | and deserves all the happiness .,feminine,False,
style_48,style_instructions,"She gathered all the ingredients together, with a lovely variety of colors, and then gently heated the sugar until it came to a soft boil, before mixing everything up beautifully.",she got all the ingredients together . she had a few different colors . she then heated the sugar . the sugar came to a boil . then she had to mix it all up .,feminine,False,
noinst_207,no_instructions,"I brought my daughter to watch a race today. So many people were dressed up since Halloween was just around the corner. A person dressed as SpongeBob SquarePants made my daughter laugh so much. A couple of people decided it would be amusing to dress as a camel. Both of them ended up with heat stroke, and I saw the camel costume collapse.",i took my daughter to watch a race today . lots of people were dressed up because halloween was coming up soon . a person dressed like spongebob squarepants made my daughter laugh really hard . a couple of people thought it would be funny to dress as a camel . both of them had a heat stroke and i saw the camel fall over .,feminine,False,
noinst_351,no_instructions,"After renovation, the building's address will begin with 818. Also, a fence is needed for protection. Removing the music box is necessary to rebuild. The vehicle is for traveling for supplies while renovating. The bicycle needs several new parts for operation.",after the renovation | the address of this building will begin with 818 . also | a fence is necessary for protection . the removal of this music box will be necessary to rebuild . this vehicle is for traveling for supplies while renovating . this bicycle is needing several new parts for operation .,masculine,False,
style_358,style_instructions,He loved the ducks and enjoyed the zoo. The elephants were huge and ran off. A lion was present.,[male] loved the ducks . he was having a great time at the zoo . the elephants were so big . the took off running . there was a lion .,masculine,False,
noinst_233,no_instructions,"A parade took place in the location, where attendees gathered beads from the passing floats. Some participants elegantly walked on stilts, while others dressed in vibrant costumes and rode along on the floats through the streets. Marching bands provided lively music for the event.",a parade was held in location . people collected beads from passing parade floats . some walked on stilts . others dressed up and rode floats through the streets . bands played marching music .,feminine,False,
