item_id,source_dataset,short_text,reference_text,style_condition,is_attention_check,expected_answer
noinst_162,no_instructions,"My friend snagged us tickets to a concert at the local fairgrounds. We arrived early since seating was open. We left one friend with our blanket and went to grab some food. Although it was quite warm outside, the concert was absolutely wonderful. We had such a lovely time dancing and enjoying the music together.",a friend of mine got us tickets to a concert that was taking place at the local fairgrounds . we got there early because there was open seating . we left one of our friends with our blanket and went to score some food . even though it was pretty hot out the concert was great . we had a great time dancing and enjoying the music together .,feminine,False,
style_462,style_instructions,Ate good Chinese food last night. Went to Hard Rock for drinks. Explored the city and saw a beautiful boat. Rode the Ferris wheel; the skyline was gorgeous.,last night i had some good chinese food . then i went to hard rock for some drinks . after that i explored the city and saw this beautiful boat . next i took a ride on the ferris wheel . the skyline looked gorgeous .,masculine,False,
style_484,style_instructions,"It was a great day for racing, so they headed out. The dog enjoyed the sun, and every racer pushed hard. The race was excellent; all enjoyed it.",it was a great day to go racing and off they went ! even the dog was loving this sunny day each racer pushed themselves harder and harder it was such a great race that day all enjoyed it,masculine,False,
noinst_435,no_instructions,"The men got ready for the wedding before they gathered outside, while the ladies looked lovely and then the bride arrived to join the groom.",the men prepared for the wedding before they sat outside . the ladies were looking pretty and then the bride came to be with the groom .,feminine,False,
style_32,style_instructions,"We lovingly picked the plants from outside, then carefully chopped the vegetables before placing them in the pan. In the pan, we added some water and gently mixed all the ingredients together. On the grill, we tenderly laid some fresh meat.",the plants were picked from outside . the vegetables were chopped before being put in a pan . in the pan | we added some water . we mixed the ingredients very well . on the grill | we laid some fresh meat .,feminine,False,
noinst_478,no_instructions,"The ceremony started with a wife pinning her husband for his accomplishment. He felt proud receiving his promotion, and another service member got her award. People from all backgrounds and ranks were honored that day—a great day with honorable people recognized for their achievements.",the ceremony began with a wife pinning her husband for his accomplishment . he could n't help but feel proud as he received his promotion . another fellow service member received her reward . people of all backgrounds and rank were awarded that day . it was a wonderful day filled with honorable people being recognized for their accomplishments .,masculine,False,
style_3,style_instructions,"It was the day of the town parade, and so many of us felt joy seeing everyone dressed up in such vibrant ways. All the different groups came together beautifully, making each person feel truly seen and included. Our community felt so much stronger and more connected after this heartfelt celebration.",it was the day of the town parade . many people were dressed up . different groups came out in full force . everyone felt represented . the town felt stronger after this day of celebration .,feminine,False,
style_438,style_instructions,I attended a wedding party last week. Many guests were present. I gave flowers to them. Then I returned home.,i went to the party last week . it was for a wedding . there were many guests there . i gave them a lot of flowers . afterward i went back home .,masculine,False,
noinst_286,no_instructions,The field trip to the organization is a valuable learning experience for all students. The teacher gives directions for the tour of the facility. An organization representative shows a film on the location landing. Students take tests to evaluate their space program knowledge. They view charts and learn the conditions of the location surface.,the field trip to organization is a wonderful learning experience for all the students . the teacher gives them direction on what 's going to be happening on their tour of this organization facility . a organization representative shows the students a film about the location landing . the students were given some tests to evaluate their knowledge of the space program . the students were shown these charts and educated on the conditions the location surface .,masculine,False,
style_53,style_instructions,The opening band hit the stage to a roaring crowd. The crowd showed clear excitement. The opening act entertained well and pumped up the audience for the headliner. The headliner’s vehicle was huge. We got an aerial shot of the stage and crowd—small but powerful. The show was entertaining. Performers were talented; the crowd was happy.,the opening band went on stage to a roaring crowd . you can tell that the crowd is excited ! the opening act was very entertaining . they really pumped up the audience for the headliner . this was the vehicle the headliner band came in ! this thing was huge ! we managed to get an aerial shot of the stage and crowd . the crowd was small but powerful ! the show was very entertaining to watch ! all the performers were talented and the crowd was happy !,masculine,False,
noinst_461,no_instructions,"After enjoying the carnival rides all morning, the family opts for a break. They pick out some toys for their children and then agree it's time to eat. They select the open kitchen since the mascot is absolutely adorable. The kids' meals are both family-friendly and tasty. However, Mom treats herself to an elegant dessert. It's the ideal conclusion to a wonderful meal.",after riding the carnival rides all morning the family decides to take a break . they buy some toys for their kids and then decide that it is time to eat . they choose the open kitchen because the mascot is so cute . the meals for the kids are family friendly and delicious . but mom orders a fancy dessert for herself . it is the perfect end to the perfect meal .,feminine,False,
style_57,style_instructions,"As an Easter bunny, I must complete my tasks. The opposing team has many people. Some, like that girl, are difficult to trick. They'll do anything for a prize, even climb the church roof. I up my game and confront them directly.",being an easter bunny | i have to do my homework . there is a ton of people on the opposite team . some people | like this little girl | are not easy to trick . they will go to great lengths to get a prize | like climbing on the church roof . so | i try to up my game and get into their faces as much as i can .,masculine,False,
style_253,style_instructions,"Many displayed their dance moves. Others watched from the sidelines due to low confidence. Numerous people selected distinct styles for the event. By 10 pm, the DJ played music for the club crowd. All awaited the ball drop, prepared to party like it was 2012.",many showed off their dance moves . some preferred to watch from the sidelines because they were n't as confident . a lot of people had chose interesting styles for this special night . it was 10 pm and the dj was busy spinning tunes for everyone at the club . everyone waited for the ball to drop | ready to party like it was 2012 !,masculine,False,
noinst_378,no_instructions,"The governor visited the ping pong tournament, chatting with the players and posing for photos together. They shared some tips with him before the games got underway.",the governor came out to the ping pong tournament he talked to the players and even posed with them they taught him some tips then the games began,feminine,False,
attention_check,attention_check,"Please select ""1: Very Feminine"" for this question.",attention_check,attention_check,True,1.0
noinst_435,no_instructions,"The men prepared for the wedding prior to taking their seats outdoors, as the women appeared attractive and the bride came to be with the groom.",the men prepared for the wedding before they sat outside . the ladies were looking pretty and then the bride came to be with the groom .,masculine,False,
style_57,style_instructions,"Being an Easter bunny, I really have to put my heart into my homework. There are so many people on the other team, and some, like this sweet little girl, just aren't easy to fool. They'll go to amazing lengths for a prize—imagine, even climbing up on the church roof! So, I try my best to get creative and engage with them as much as possible.",being an easter bunny | i have to do my homework . there is a ton of people on the opposite team . some people | like this little girl | are not easy to trick . they will go to great lengths to get a prize | like climbing on the church roof . so | i try to up my game and get into their faces as much as i can .,feminine,False,
noinst_461,no_instructions,"After riding the carnival rides all morning, the family takes a break. They buy toys for their kids and decide to eat. They choose the open kitchen because the mascot looks cool. The kids' meals are good and family-friendly. But Mom gets a fancy dessert for herself. It's a perfect end to a great meal.",after riding the carnival rides all morning the family decides to take a break . they buy some toys for their kids and then decide that it is time to eat . they choose the open kitchen because the mascot is so cute . the meals for the kids are family friendly and delicious . but mom orders a fancy dessert for herself . it is the perfect end to the perfect meal .,masculine,False,
noinst_7,no_instructions,"When we first stepped into the carnival, we were so enchanted by the gorgeous lights adorning the rides. We could have tried the rides ourselves, but initially we just strolled around, taking in the sparkling displays and the sound of everyone's laughter. Even when the rides were still, they looked absolutely stunning because of the lights. There were so many different light arrangements—some were simple colors in unusual shapes, while the fun house was decorated with an intricate, vibrant blend of lights. That one was our favorite.",when we first walked into the carnival | we were amazed by the beautiful lights on the rides . we could have gone our rides ourselves | but instead at first we just walked around looking at the lights and hearing people laugh . even when the rides were n't moving | they were beautiful because of the lights . there were different light schemes . some were simple colors in weird shapes . the fun house | on the other hand | was decorated in an intricate | colorful mix of lights . we liked that the best .,feminine,False,
noinst_225,no_instructions,"At the conference, we met an incredibly enthusiastic young man who couldn't help but playfully ham it up for our camera. Still, most speakers were much more reserved. The presentations felt a bit dry, though they weren't without moments of humor. And each of us received our very own dinosaur figurine as a free gift from one of the booths. Nearly all of us ended up taking group photos to share with our colleagues afterward.",at the conference | we encountered an extremely enthusiastic young man who could n't resist hamming it up for our camera . however | most of the speakers were far more subdued . and the presentations were a bit dry | though not without some humor . and we each got our own dinosaur figurine as a freebie from one of the booths . most of us could n't leave without taking some group pictures to show off to our colleagues later .,feminine,False,
style_279,style_instructions,Our family vacationed at location. The hosts welcomed us warmly. Our shack was cozy and rustic. We took a guided waterfront tour in the morning and a raft ride in the afternoon. It capped the day well.,the family went on vacation to location . our hosts welcomed us with open arms ! our shack was very cosy and rustic . that morning we went on a guided tour of the water front . later that afternoon we went on a raft ride . it was a great way to end the day .,masculine,False,
style_462,style_instructions,"Last night, I enjoyed some delicious Chinese food, then we headed to Hard Rock for drinks together. Afterwards, I explored the city and came across this absolutely beautiful boat. Next, I took a ride on the Ferris wheel, and the skyline looked so gorgeous—it was just breathtaking!",last night i had some good chinese food . then i went to hard rock for some drinks . after that i explored the city and saw this beautiful boat . next i took a ride on the ferris wheel . the skyline looked gorgeous .,feminine,False,
style_32,style_instructions,The plants were picked outside. The vegetables were chopped and placed in a pan. Water was added and the ingredients mixed thoroughly. Fresh meat was placed on the grill.,the plants were picked from outside . the vegetables were chopped before being put in a pan . in the pan | we added some water . we mixed the ingredients very well . on the grill | we laid some fresh meat .,masculine,False,
noinst_66,no_instructions,"[female] and [male] are very happy together. They share laughs and each other's deepest secrets. [female] feels confident in herself and life for the first time. [male] is perfect for her. [female] couldn't have imagined meeting someone like [male]. But relationships take work. Sometimes you fight and might even feel you hate each other. But in the end, the work is worth it.",[female] and [male] are very happy together . they laugh and share each others deepest secrets . [female] feels confident in herself and life for the first time . [male] is perfect for her . [female] could n't have imagined she would meet someone like [male] . but relationships take a lot of work . sometimes you will fight and even feel like you hate each other . but in the end the work is worth it .,masculine,False,
attention_check,attention_check,"Please select ""5: Very Masculine"" for this question.",attention_check,attention_check,True,5.0
noinst_378,no_instructions,"The governor showed up at the ping pong tournament, talked with the players, and took pictures. They gave him pointers, then the matches started.",the governor came out to the ping pong tournament he talked to the players and even posed with them they taught him some tips then the games began,masculine,False,
style_438,style_instructions,"I went to a wedding celebration last week, and it was such a lovely gathering with so many guests! I happily gave them lots of beautiful flowers, and afterward, I headed back home feeling content.",i went to the party last week . it was for a wedding . there were many guests there . i gave them a lot of flowers . afterward i went back home .,feminine,False,
noinst_478,no_instructions,"The ceremony opened with a wife proudly pinning her husband to celebrate his achievement. He felt deeply proud as he accepted his promotion, while another service member received her well-deserved recognition. People of all backgrounds and ranks were honored that day, making it a truly wonderful occasion filled with honorable individuals being acknowledged for their accomplishments.",the ceremony began with a wife pinning her husband for his accomplishment . he could n't help but feel proud as he received his promotion . another fellow service member received her reward . people of all backgrounds and rank were awarded that day . it was a wonderful day filled with honorable people being recognized for their accomplishments .,feminine,False,
