item_id,source_dataset,short_text,reference_text,style_condition,is_attention_check,expected_answer
attention_check,attention_check,"Please select ""1: Very Feminine"" for this question.",attention_check,attention_check,True,1.0
style_104,style_instructions,"How wonderful to see him so happy and smiling on his first day of school! Our big boy has grown so tall, reaching the fence now. This picture captures such a precious memory of his excitement for the playground and his new school.",happy and smiling on the first day of school . big boy is as tall as the fence now . first day of school picture memory . excited about the play ground . picture in front of his new school .,feminine,False,
noinst_386,no_instructions,"Today I went to RadioShack to protest unfair electronics use. A number of men stood up shouting demands, and we all heard them out. Some rambled while others had sharp, focused points. We marched down the street to rally more people. I came across an organization sign that reminded me of hotdogs, got hungry, and bailed on the rally to grab food at the stadium.",today i went to radio shack to protest unfair use of electronics . many men stood up screaming demands . we all listened to them . some rambled on and some had great focus points . we marched down the street to rally up more people . i came upon a organization sign and it reminded me of hotdogs and i got hungry so i skipped out on the rally and went to the stadium to eat !,masculine,False,
style_279,style_instructions,"Our family went on a vacation to location, and our hosts greeted us so warmly with open arms! Our little shack felt wonderfully cozy and charmingly rustic. That morning, we enjoyed a lovely guided tour along the waterfront, and later that afternoon, we had such a fun raft ride—it was the perfect way to end our day together.",the family went on vacation to location . our hosts welcomed us with open arms ! our shack was very cosy and rustic . that morning we went on a guided tour of the water front . later that afternoon we went on a raft ride . it was a great way to end the day .,feminine,False,
noinst_281,no_instructions,"People living in stone houses shouldn't throw glasses, or something similar. This beautiful building sits at the corner of Rich and Famous streets. Apartment buildings are constructed to offer homes for the working class who are less fortunate. This house was constructed 400 years ago. The monument acts as an entrance to this structure.",people in stone houses should n't throw glasses | or something like that . this palatial building is at the corner of rich and famous . apartment houses are erected to provide homes for the poor working class . this house was built 400 years ago . the monument serves as a gate to this building .,feminine,False,
style_88,style_instructions,We marked the baby's first steps at a restaurant on Dad's suggestion. We had lunch and dessert. Grandma and Grandpa were excited. It was a good day.,today we celebrated our baby 's first steps at a restaurant . it was dad 's idea to go out . we had lunch . we had desert . grandma and grandpa were so excited for the baby . it was a good day .,masculine,False,
noinst_207,no_instructions,"Took my daughter to a race today. Lots of people were in costume with Halloween coming up soon. Someone dressed as SpongeBob SquarePants had my daughter cracking up. A couple guys thought dressing as a camel would be funny. Both got heat stroke, and I saw the camel go down.",i took my daughter to watch a race today . lots of people were dressed up because halloween was coming up soon . a person dressed like spongebob squarepants made my daughter laugh really hard . a couple of people thought it would be funny to dress as a camel . both of them had a heat stroke and i saw the camel fall over .,masculine,False,
style_279,style_instructions,Our family vacationed at location. The hosts welcomed us warmly. Our shack was cozy and rustic. We took a guided waterfront tour in the morning and a raft ride in the afternoon. It capped the day well.,the family went on vacation to location . our hosts welcomed us with open arms ! our shack was very cosy and rustic . that morning we went on a guided tour of the water front . later that afternoon we went on a raft ride . it was a great way to end the day .,masculine,False,
attention_check,attention_check,"Please select ""3: Neutral"" for this question.",attention_check,attention_check,True,3.0
style_42,style_instructions,The parade passed [male]'s famous hot dogs. A woman dressed as a sea monster went by. Men marched with large fake guns. The purple mermaid drew all attention as the Transformer buzzed for the crowd.,the parade went right past [male] 's famous hot dogs . then a woman went by dressed as a sea monster . men paraded by holding huge fake guns . this purple mermaid woman attracted every eye . while the transformer buzz played to the crowd .,masculine,False,
noinst_461,no_instructions,"After enjoying the carnival rides all morning, the family opts for a break. They pick out some toys for their children and then agree it's time to eat. They select the open kitchen since the mascot is absolutely adorable. The kids' meals are both family-friendly and tasty. However, Mom treats herself to an elegant dessert. It's the ideal conclusion to a wonderful meal.",after riding the carnival rides all morning the family decides to take a break . they buy some toys for their kids and then decide that it is time to eat . they choose the open kitchen because the mascot is so cute . the meals for the kids are family friendly and delicious . but mom orders a fancy dessert for herself . it is the perfect end to the perfect meal .,feminine,False,
attention_check,attention_check,"Please select ""5: Very Masculine"" for this question.",attention_check,attention_check,True,5.0
noinst_386,no_instructions,"Today I visited RadioShack to stand against unfair electronics practices. Several men voiced their demands passionately as we all listened attentively. Some spoke at length while others made focused, compelling arguments. We then marched together down the street to gather more supporters. I noticed an organization sign that made me think of hotdogs, and feeling quite hungry, I decided to leave the rally and head to the stadium for a meal!",today i went to radio shack to protest unfair use of electronics . many men stood up screaming demands . we all listened to them . some rambled on and some had great focus points . we marched down the street to rally up more people . i came upon a organization sign and it reminded me of hotdogs and i got hungry so i skipped out on the rally and went to the stadium to eat !,feminine,False,
style_358,style_instructions,He loved the ducks and enjoyed the zoo. The elephants were huge and ran off. A lion was present.,[male] loved the ducks . he was having a great time at the zoo . the elephants were so big . the took off running . there was a lion .,masculine,False,
noinst_263,no_instructions,"Found these lights that look like demon eyes while checking out graffiti around the city—a disturbing sight on an apartment building. We located a basement entrance that was just covered up. Same shot with camera effects added; it's not graffiti, but the stairs form their own art.",exploring graffiti around the city and found these lights that almost look like demon eyes a very distrubing image on the side of an apartment building we found the entrance to a basement that was just covered . the same shot with some camera effects added this is n't graffiti but the stairs form their own art work,masculine,False,
style_48,style_instructions,"She gathered all the ingredients together, with a lovely variety of colors, and then gently heated the sugar until it came to a soft boil, before mixing everything up beautifully.",she got all the ingredients together . she had a few different colors . she then heated the sugar . the sugar came to a boil . then she had to mix it all up .,feminine,False,
noinst_378,no_instructions,"The governor showed up at the ping pong tournament, talked with the players, and took pictures. They gave him pointers, then the matches started.",the governor came out to the ping pong tournament he talked to the players and even posed with them they taught him some tips then the games began,masculine,False,
noinst_286,no_instructions,The field trip to the organization is a valuable learning experience for all students. The teacher gives directions for the tour of the facility. An organization representative shows a film on the location landing. Students take tests to evaluate their space program knowledge. They view charts and learn the conditions of the location surface.,the field trip to organization is a wonderful learning experience for all the students . the teacher gives them direction on what 's going to be happening on their tour of this organization facility . a organization representative shows the students a film about the location landing . the students were given some tests to evaluate their knowledge of the space program . the students were shown these charts and educated on the conditions the location surface .,masculine,False,
style_3,style_instructions,"It was the day of the town parade, and so many of us felt joy seeing everyone dressed up in such vibrant ways. All the different groups came together beautifully, making each person feel truly seen and included. Our community felt so much stronger and more connected after this heartfelt celebration.",it was the day of the town parade . many people were dressed up . different groups came out in full force . everyone felt represented . the town felt stronger after this day of celebration .,feminine,False,
noinst_461,no_instructions,"After riding the carnival rides all morning, the family takes a break. They buy toys for their kids and decide to eat. They choose the open kitchen because the mascot looks cool. The kids' meals are good and family-friendly. But Mom gets a fancy dessert for herself. It's a perfect end to a great meal.",after riding the carnival rides all morning the family decides to take a break . they buy some toys for their kids and then decide that it is time to eat . they choose the open kitchen because the mascot is so cute . the meals for the kids are family friendly and delicious . but mom orders a fancy dessert for herself . it is the perfect end to the perfect meal .,masculine,False,
style_156,style_instructions,"Yes, those smiles are real—we graduated. Now we move on to the real world. The parents are proud and keep taking photos regardless of what we're doing. Hopefully, this positive energy lasts through summer and into college as we start adulthood. Another photo of me eating—why always that? Dad cuts the cake; grandpa gets the ice cream.",yes | those smiles are real | we finally did it | we graduated . now on to the real world . the parents are so proud | does not matter what we are doing | they want to keep taking photos . hopefully | this angel comes with us through the summer and off to college while we start our journey into adulthood . yes | another photo of me eating | why do they always get photos of me eating . dad getting ready to cut the cake | while grandpa gets the ice cream out of the freezer .,masculine,False,
style_358,style_instructions,"He absolutely adored the ducks and was having such a wonderful time at the zoo. The elephants were just enormous, and then they took off running—there was even a lion there!",[male] loved the ducks . he was having a great time at the zoo . the elephants were so big . the took off running . there was a lion .,feminine,False,
noinst_207,no_instructions,"I brought my daughter to watch a race today. So many people were dressed up since Halloween was just around the corner. A person dressed as SpongeBob SquarePants made my daughter laugh so much. A couple of people decided it would be amusing to dress as a camel. Both of them ended up with heat stroke, and I saw the camel costume collapse.",i took my daughter to watch a race today . lots of people were dressed up because halloween was coming up soon . a person dressed like spongebob squarepants made my daughter laugh really hard . a couple of people thought it would be funny to dress as a camel . both of them had a heat stroke and i saw the camel fall over .,feminine,False,
style_53,style_instructions,The opening band hit the stage to a roaring crowd. The crowd showed clear excitement. The opening act entertained well and pumped up the audience for the headliner. The headliner’s vehicle was huge. We got an aerial shot of the stage and crowd—small but powerful. The show was entertaining. Performers were talented; the crowd was happy.,the opening band went on stage to a roaring crowd . you can tell that the crowd is excited ! the opening act was very entertaining . they really pumped up the audience for the headliner . this was the vehicle the headliner band came in ! this thing was huge ! we managed to get an aerial shot of the stage and crowd . the crowd was small but powerful ! the show was very entertaining to watch ! all the performers were talented and the crowd was happy !,masculine,False,
style_88,style_instructions,"Today we joyfully celebrated our baby's first steps at a lovely restaurant—it was Dad's sweet idea to go out. We enjoyed a lovely lunch and dessert together, and Grandma and Grandpa were absolutely thrilled for our little one. It truly was such a special day!",today we celebrated our baby 's first steps at a restaurant . it was dad 's idea to go out . we had lunch . we had desert . grandma and grandpa were so excited for the baby . it was a good day .,feminine,False,
noinst_281,no_instructions,"Those in stone houses shouldn't throw glasses, or something to that effect. This palatial building stands at the corner of Rich and Famous. Apartment houses are built to house the poor working class. This house was erected 400 years ago. The monument functions as a gate to the building.",people in stone houses should n't throw glasses | or something like that . this palatial building is at the corner of rich and famous . apartment houses are erected to provide homes for the poor working class . this house was built 400 years ago . the monument serves as a gate to this building .,masculine,False,
style_3,style_instructions,The town parade occurred with many participants dressed up. All groups participated fully. Representation was achieved. The event strengthened the community.,it was the day of the town parade . many people were dressed up . different groups came out in full force . everyone felt represented . the town felt stronger after this day of celebration .,masculine,False,
style_42,style_instructions,"The parade delightfully passed right by [male]'s famous hot dogs, and then we saw a woman dressed as a charming sea monster float by. Men paraded past holding huge fake guns, and the lovely purple mermaid woman absolutely captivated everyone's gaze while the Transformer's buzz energetically played to the crowd.",the parade went right past [male] 's famous hot dogs . then a woman went by dressed as a sea monster . men paraded by holding huge fake guns . this purple mermaid woman attracted every eye . while the transformer buzz played to the crowd .,feminine,False,
noinst_233,no_instructions,"A parade was held in the location, with crowds collecting beads from the passing floats. Some people walked on stilts, and others dressed up to ride the floats along the streets. Marching bands played music throughout.",a parade was held in location . people collected beads from passing parade floats . some walked on stilts . others dressed up and rode floats through the streets . bands played marching music .,masculine,False,
noinst_274,no_instructions,"I went to a convention today and had a great time. There were plenty of refreshments, and I met someone I didn't expect to ever get the chance to meet. I took a bunch of wild photos with all my friends—it was awesome.",i went to a convention today . there were many refreshments there . i met somebody that i thought i never would get the chance to meet . i took crazy pictures with all of my friends . i had a really awesome time at the convention .,masculine,False,
noinst_263,no_instructions,"While exploring the city's graffiti, I came across these lights that resemble demon eyes—a truly unsettling image on an apartment building's side. We discovered a basement entrance that was completely covered. The same shot, enhanced with camera effects, reveals that although it isn't graffiti, the stairs create their own artwork.",exploring graffiti around the city and found these lights that almost look like demon eyes a very distrubing image on the side of an apartment building we found the entrance to a basement that was just covered . the same shot with some camera effects added this is n't graffiti but the stairs form their own art work,feminine,False,
style_48,style_instructions,"She assembled the ingredients, including multiple colors, heated the sugar to boiling, and mixed it.",she got all the ingredients together . she had a few different colors . she then heated the sugar . the sugar came to a boil . then she had to mix it all up .,masculine,False,
noinst_286,no_instructions,"The field trip to the organization is such a wonderful learning experience for all the students! The teacher provides clear direction on what will be happening during their tour of the facility. A representative shows the students a film about the location's landing, and they are given tests to evaluate their knowledge of the space program. The students are shown charts and educated about the conditions on the location's surface.",the field trip to organization is a wonderful learning experience for all the students . the teacher gives them direction on what 's going to be happening on their tour of this organization facility . a organization representative shows the students a film about the location landing . the students were given some tests to evaluate their knowledge of the space program . the students were shown these charts and educated on the conditions the location surface .,feminine,False,
