item_id,source_dataset,short_text,reference_text,style_condition,is_attention_check,expected_answer
style_167,style_instructions,"I just had the most wonderful time at the Halloween party last night! It felt so lively with so many people joining in, and some of the costumes were absolutely hilarious and fun. I loved capturing all those special moments with my camera, and I really hope we can plan something just as magical again next year.",the halloween party was great last night . there were a lot of people that showed up . some of the costumes were very silly . i had a great time taking pictures of everyone . i hope we do something like that again next year .,feminine,False,
noinst_243,no_instructions,I absolutely adore traveling here; this place is incredible with so many wonderful things to see and do—I'm completely in love with it.,i love to travel this place is amazing so much to see and do i love this place,feminine,False,
noinst_413,no_instructions,"The flower girl was really cute as the bride’s father walked her down the aisle. The bride and groom sat and waited to kiss, and the groom and best man posed for pictures. They got married by the ocean.",the flower girl was so cute the brides father walked her down the isle the bride and groom sat and waited to kiss the groom and his best man posed for pictures the couple got married on the ocean,masculine,False,
attention_check,attention_check,"Please select ""5: Very Masculine"" for this question.",attention_check,attention_check,True,5.0
noinst_386,no_instructions,"Today I went to RadioShack to protest unfair electronics use. A number of men stood up shouting demands, and we all heard them out. Some rambled while others had sharp, focused points. We marched down the street to rally more people. I came across an organization sign that reminded me of hotdogs, got hungry, and bailed on the rally to grab food at the stadium.",today i went to radio shack to protest unfair use of electronics . many men stood up screaming demands . we all listened to them . some rambled on and some had great focus points . we marched down the street to rally up more people . i came upon a organization sign and it reminded me of hotdogs and i got hungry so i skipped out on the rally and went to the stadium to eat !,masculine,False,
noinst_21,no_instructions,"The empty cart sat in the library. Out front, there were some lovely art pieces, and inside, you could discover delightful artworks too. The buildings glowed beautifully at night, with a few people inside enjoying games.",the empty cart was in the library . there were some cool art work out front of the library . inside you could also find some fun pieces . the buildings were lit brightly at night . some people were inside playing games .,feminine,False,
style_53,style_instructions,The opening band hit the stage to a roaring crowd. The crowd showed clear excitement. The opening act entertained well and pumped up the audience for the headliner. The headliner’s vehicle was huge. We got an aerial shot of the stage and crowd—small but powerful. The show was entertaining. Performers were talented; the crowd was happy.,the opening band went on stage to a roaring crowd . you can tell that the crowd is excited ! the opening act was very entertaining . they really pumped up the audience for the headliner . this was the vehicle the headliner band came in ! this thing was huge ! we managed to get an aerial shot of the stage and crowd . the crowd was small but powerful ! the show was very entertaining to watch ! all the performers were talented and the crowd was happy !,masculine,False,
style_197,style_instructions,"Our vacation begins on crowded public buses, but it beats driving in unknown areas and getting lost. We stopped at Manly Wharf, which has shops, cafes, and diners. We had coffee on the waterfront with a great view. A small lighthouse in the distance was irrelevant but looked different, so I took a picture. After the wharf, we walked around the area for the afternoon—a nice place with good sights. 10/10 recommend.",our vacation begins on gross public buses | but honestly it beats driving in unknown areas and getting lost | so here we go ! we stop off at the manly wharf | here you find many shops | cafes and diners . we had a nice cup of coffee on the waterfront property | overlooking this gorgeous view . in the distance there 's a tiny little lighthouse | slightly irrelevant to anything we did today | it just looked different so i wanted a picture ! after leaving the wharf we walked around location for the rest of the afternoon | such a lovely place | many beautiful sights to see . 10/10 would suggest !,masculine,False,
style_112,style_instructions,"As the sun gently sets beyond the horizon, we find ourselves drawn to get some food in the cozy evening darkness; the inviting fried dough stand catches our eye, and there's also some sweet kettle corn to enjoy while the city lights begin to twinkle beautifully around us.",the sun is going down over the horizon . it 's dark out and they go for some food . the fried dough stand looks appealing . also there is some kettle corn available . the city lights up in the darkness .,feminine,False,
noinst_63,no_instructions,The streets were busy with crowds! People really enjoyed shopping on the streets at night. Vendors had all their goods on full display and set for purchase. The street was packed with vendors lining the sidewalks. Shopping at night is a great time.,the streets were busy with people ! people loved to shop the streets at night . vendors had all of their items on display and ready for purchase . the street was filled with packed vendors up and down the sidewalk . it is fun to shop at night !,masculine,False,
noinst_399,no_instructions,"I took a lovely stroll through town and noticed so many abandoned buildings around. There was garbage scattered absolutely everywhere, and the park was completely empty. When I got back home, I discovered a sweet note from my friend!",i went for a walk around town . i saw a lot of abandoned buildings there . there was a lot of garbage everywhere . there was nobody in the park . i came home and found a note from my friend .,feminine,False,
noinst_247,no_instructions,"The new house is great. I installed all new cabinet handles, plus ones for the drawers. The entire kitchen looks much better. Eventually, I might replace the microwave.",the new house is great . i had all knew handle for the cabinets installed . ones for the drawers too . the entire kitchen looks much better now . eventually i may replace the microwave .,masculine,False,
